Ticker,Final Value,Return,Sharpe Ratio,Max Drawdown
AAPL,137638.7372459793,0.37638737245979303,0.6705158615065899,-0.18918328917377125
ABT,181762.57138504027,0.8176257138504026,1.0598559563623418,-0.16449899807441537
ADI,163888.93256896973,0.6388893256896973,0.6940184770581145,-0.23345014900206773
ADM,144332.06584575653,0.4433206584575653,0.5265734734543456,-0.27269030039584796
ADP,223661.18069831847,1.2366118069831846,1.1342491855125403,-0.1918786108610816
ADSK,301837.9166334152,2.018379166334152,0.9741998794103651,-0.2998616037769317
AEE,159282.3248931885,0.592823248931885,0.8803723837542347,-0.179235843443311
AEP,122280.59599807739,0.2228059599807739,0.5675106457279249,-0.1693930969474694
AJG,146898.05541107178,0.4689805541107177,1.0481763370443875,-0.10741634163208014
AKAM,169434.86792877197,0.6943486792877198,0.6905261100914807,-0.3012238347376244
ALB,137055.7224004364,0.3705572240043642,0.40649404626430613,-0.5790551347967341
AMAT,411790.03940485,3.1179003940485,1.5304443621031467,-0.20157790781189144
AMD,1052092.0442283964,9.520920442283964,1.3132440899678948,-0.35660792115798
AME,217741.49717323302,1.1774149717323303,1.1918793601283137,-0.22144190211815584
AMGN,130639.32586914062,0.3063932586914062,0.47599705299990114,-0.23001176548889357
AMT,137275.6658705139,0.3727566587051392,0.7487047053860634,-0.15157776470950435
AMZN,244075.6705465698,1.4407567054656982,1.0233523932154236,-0.3410042197848685
AON,146593.30034675598,0.4659330034675597,1.0783053650939676,-0.08246538568726292
AOS,165326.49448394775,0.6532649448394776,0.7668243030211681,-0.28019165414986347
APA,56373.65115158081,-0.43626348848419194,-0.25674816872225065,-0.6109748280880143
APD,184573.7628567505,0.8457376285675049,0.9990304028545038,-0.12626982096427009
APH,216725.62714846613,1.167256271484661,1.1588045428167981,-0.22260707971228322
ARE,198928.77652397155,0.9892877652397156,1.0311351023742956,-0.20675061106539516
AVB,124408.34915924072,0.24408349159240728,0.8165594076772055,-0.06933813648130649
AVY,147042.7518984985,0.47042751898498514,0.8251170546012888,-0.12973167052194856
AXP,213901.9451470566,1.139019451470566,1.1562902459504771,-0.20715997975883294
AZO,109823.26600708006,0.09823266007080056,0.2245458950594102,-0.3341740409698869
BA,151725.8021070099,0.517258021070099,0.616383088489537,-0.24666851024069636
BAC,228065.26479304314,1.2806526479304314,0.9298185347616034,-0.32747113501901626
BAX,161544.43864868165,0.6154443864868164,1.0934496564234037,-0.10989090597523798
BBY,200725.55174896237,1.0072555174896238,0.8438481410970651,-0.16946575337359693
BDX,193323.22089965822,0.9332322089965821,0.9478886740562249,-0.2037130839259914
BEN,121049.32259159087,0.2104932259159087,0.3597153517155282,-0.2697641871991916
BIIB,122850.00155517578,0.2285000155517578,0.32286612819321814,-0.4353849955857494
BK,140329.9429262161,0.4032994292621612,0.5698639909488108,-0.23191353856426933
BLK,164650.06420135498,0.6465006420135497,0.6768430121838483,-0.3744244475568016
BMY,119585.93105209351,0.1958593105209352,0.3286992840264949,-0.3510564585408277
BSX,127548.01844083786,0.2754801844083785,0.6613206854874984,-0.1160488298746577
BXP,114777.75271972656,0.14777752719726567,0.31385000922809503,-0.17642137567954885
C,240150.990915432,1.4015099091543197,1.4756804061072366,-0.15378571157180077
CAG,101602.0508376503,0.01602050837650304,0.13914998071469115,-0.4582493200901271
CAH,116160.19213981628,0.16160192139816276,0.3373190294504404,-0.2516992045662807
CAT,242177.55123931885,1.4217755123931886,0.9514903049512314,-0.3309900511902385
CB,159065.08243606566,0.5906508243606565,1.017579990343829,-0.08845400664202152
CCI,100000.0,0.0,,0.0
CDNS,157883.28319904325,0.5788328319904326,0.9066955582788694,-0.10007100679893499
CHD,124950.08646621704,0.24950086466217036,0.575265956556534,-0.16593594864638617
CHRW,136365.0996862793,0.363650996862793,0.4655595579202335,-0.23743045590110545
CINF,128993.5494397354,0.289935494397354,1.0092698479448785,-0.06891463423690802
CL,117454.78067184448,0.17454780671844472,0.5406939489016269,-0.12893087981910245
CLX,120613.30503631591,0.2061330503631591,0.36791804240919707,-0.22837796522688103
CMI,258588.84824890137,1.5858884824890138,1.3397524558786789,-0.1829002322891411
CNP,156175.48320264817,0.5617548320264818,0.8306369222132826,-0.19839517469837697
COO,175793.99026855468,0.7579399026855469,1.1955905788677996,-0.16004856519238397
COP,149062.71983207704,0.4906271983207704,0.47194527727316676,-0.3569239882989427
COST,104933.10634246825,0.04933106342468241,0.1845833474451767,-0.15587601267091078
CPB,156520.4103553772,0.5652041035537718,0.9816895805661757,-0.10139320923178274
CPRT,477872.1998354721,3.7787219983547207,1.787055340282462,-0.32369853156185646
CSCO,174673.35075256348,0.7467335075256347,0.8353084309738257,-0.17475629758531286
CTAS,307854.9177542114,2.078549177542114,1.461609559830139,-0.2707785532330752
CTSH,111245.03766845704,0.11245037668457036,0.23279462622822159,-0.3220320003181427
D,136876.5338182831,0.36876533818283086,0.90444238962473,-0.07798931602494064
DE,197884.1695485687,0.9788416954856869,0.9589570113792656,-0.20292135301949887
DGX,208713.42456832883,1.0871342456832882,1.3574106723713728,-0.1481401731033325
DHI,151384.65606243134,0.5138465606243134,0.8538503935870566,-0.09564584560481648
DIS,148031.3361164093,0.48031336116409307,0.606471670787131,-0.15692693952420111
DLTR,132059.80322631836,0.3205980322631836,0.4153262860213668,-0.3165422190415004
DOV,150227.40374145505,0.5022740374145505,0.6099658940970732,-0.25122003752122046
DRI,149716.4164881134,0.497164164881134,0.8590288648458996,-0.11861230719837246
DTE,137202.12208766936,0.37202122087669354,0.881125236668626,-0.09089153451958587
